Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Peppers, bell, yellow, raw",100,g,100,30.765,0.819,0.121,0,0,0,0,6.6,0,0,1.07,0,197,0
"Peppers, bell, red, raw",100,g,100,31.318,0.896,0.126,0,0,0,0,6.65,0,0,1.16,0,213,0
"Peppers, bell, orange, raw",100,g,100,31.732,0.882,0.156,0,0,0,0,6.7,0,0,0.967,0,201,0
"Buttermilk, low fat",100,g,100,49.559,3.46,1.08,0.552,0.199,0,0,4.81,0,0,0,92.5,158,4.79
"Yogurt, plain, whole milk",100,g,100,106.626,3.82,4.48,2.32,0.874,0,0,5.57,0,0,0,41.8,164,14.2
"Yogurt, Greek, plain, whole milk",100,g,100,123.762,8.78,4.39,2.39,0.958,0,0,4.75,0,0,0,33.8,147,16.8
"Cheese, parmesan, grated, refrigerated",100,g,100,612.2,30.1,29.5,17.2,6.02,0,0,4.33,0,0,0,1050,74,86
"Cheese, feta, whole milk, crumbled",100,g,100,411.44,19.7,19.1,11.2,4.18,0,0,5.58,0,0,0,1030,105,57.5
"Flour, almond",100,g,100,621.4,26.2,50.2,0,0,0,0,16.2,0,0,9.27,0.894,667,0
"Flour, oat, whole grain",100,g,100,389.19,13.2,6.31,0,0,0,0,69.9,0,0,10.5,3.62,373,0
"Flour, potato",100,g,100,360.599,8.11,0.951,0,0,0,0,79.9,0,0,5.4,47.7,1270,0
"Peanut butter, creamy",100,g,100,1071.5,24,49.4,8.42,30.7,9.78,0,22.7,0,0,6.32,221,654,0
"Sesame butter, creamy",100,g,100,1218.93,19.7,62.4,8.97,22.6,26.4,0,14.2,0,0,8.37,63.6,408,0
"Almond butter, creamy",100,g,100,1108.95,20.8,53,4.25,34.7,12.6,0,21.2,0,0,9.72,0.996,745,0
"Flaxseed, ground",100,g,100,850.58,18,37.3,3.28,5.94,24.7,0,34.4,0,0,23.1,36.7,793,0
"Cottage cheese, full fat, large or small curd",100,g,100,134.424,11.6,4.22,2.6,0.916,0,0,4.6,0,0,0,350,124,18
"Cream cheese, full fat, block",100,g,100,582.48,5.79,33.5,19.7,6.92,0,0,4.56,0,0,0,368,125,101
"Cream, heavy",100,g,100,593.34,2.02,35.6,20.4,7.34,0,0,3.8,0,0,0,20.6,96.9,103
"Cream, sour, full fat",100,g,100,327.02,3.07,18,10.7,3.8,0,0,5.56,0,0,0,50,154,52.7
"Lettuce, iceberg, raw",100,g,100,17.114,0.742,0.074,0,0,0,0,3.37,0,0,0,16.1,139,0
"Lettuce, romaine, green, raw",100,g,100,20.787,0.977,0.071,0,0,0,0,4.06,0,0,0,23,260,0
"Lettuce, leaf, red, raw",100,g,100,17.526,0.883,0.106,0,0,0,0,3.26,0,0,0,24.9,321,0
"Lettuce, leaf, green, raw",100,g,100,22.044,1.09,0.156,0,0,0,0,4.07,0,0,0,28.9,277,0
"Nuts, pine nuts, raw",100,g,100,688.9,15.7,61.3,0,0,0,0,18.6,0,0,3.94,0,655,0
"Nuts, almonds, whole, raw",100,g,100,1042.42,21.5,51.1,3.78,31.3,11.2,0,20,0,0,10.8,0,733,0
"Nuts, walnuts, English, halves, raw",100,g,100,1314.03,14.6,69.7,6.05,9.62,49.3,0,10.9,0,0,5.21,0,424,0
"Nuts, pecans, halves, raw",100,g,100,1368.28,9.96,73.3,6.46,39.3,22.9,0,12.7,0,0,5.79,0,360,0
"Oats, whole grain, rolled, old fashioned",100,g,100,381.81,13.5,5.89,0,0,0,0,68.7,0,0,0,0.668,350,0
"Oats, whole grain, steel cut",100,g,100,381.4,12.5,5.8,0,0,0,0,69.8,0,0,0,0.311,376,0
"Pineapple, raw",100,g,100,60.143,0.461,0.211,0,0,0,0,14.1,0,0,0.935,0,137,0
"Cherries, sweet, dark red, raw",100,g,100,70.688,1.04,0.192,0,0,0,0,16.2,0,0,0,0,230,0
"Beans, snap, green, raw",100,g,100,39.995,1.97,0.275,0,0,0,0,7.41,0,0,3.01,0,290,0
"Potatoes, russet, without skin, raw",100,g,100,83.52,2.27,0.36,0,0,0,0,17.8,0,0,0,2.74,450,0
"Potatoes, red, without skin, raw",100,g,100,75.672,2.06,0.248,0,0,0,0,16.3,0,0,0,2.86,472,0
"Potatoes, gold, without skin, raw",100,g,100,73.616,1.81,0.264,0,0,0,0,16,0,0,0,2.24,446,0
"Sweet potatoes, orange flesh, without skin, raw",100,g,100,78.895,1.58,0.375,0,0,0,0,17.3,0,0,0,0,486,0
"Celery, raw",100,g,100,16.706,0.492,0.162,0,0,0,0,3.32,0,0,0,97.2,265,0
"Cucumber, with peel, raw",100,g,100,15.902,0.625,0.178,0,0,0,0,2.95,0,0,0,1.52,170,0
"Cabbage, green, raw",100,g,100,31.416,0.961,0.228,0,0,0,0,6.38,0,0,0,16.1,207,0
"Cabbage, red, raw",100,g,100,34.046,1.24,0.214,0,0,0,0,6.79,0,0,0,11.7,269,0
"Strawberries, raw",100,g,100,36.384,0.641,0.22,0,0,0,0,7.96,0,0,0,0,161,0
"Raspberries, raw",100,g,100,57.332,1.01,0.188,0,0,0,0,12.9,0,0,0,0,156,0
"Blueberries, raw",100,g,100,63.966,0.703,0.306,0,0,0,0,14.6,0,0,0,0,85.6,0
"Grapes, red, seedless, raw",100,g,100,85.932,0.914,0.164,0,0,0,0,20.2,0,0,0,7,229,0
"Grapes, green, seedless, raw",100,g,100,80.084,0.899,0.232,0,0,0,0,18.6,0,0,0,3.17,218,0
"Applesauce, unsweetened, with added vitamin C",100,g,100,51.75,0.273,0.162,0,0,0,0,12.3,0,0,0,0.504,108,0
"Flour, amaranth",100,g,100,384.16,13.2,6.24,0,0,0,0,68.8,0,0,7.21,0,396,0
"Flour, quinoa",100,g,100,385,11.9,6.6,0,0,0,0,69.5,0,0,6.3,6.32,551,0
