food_id,serving_text,serving_weight,is_grams
598,14 g,14.0,True
599,8 galletitas 30 g,30.0,True
600,12 unidades 20 g,20,True
601,100 g,,True
602,1/5 package (100 g),100.0,True
603,7g,7,True
604,30 g,30.0,True
605,1 plato 80 g,80.0,True
606,40 g,40,True
607,1 vaso (200 ml),200.0,False
608,100 g,,True
609,20g,20,True
610,10g,10.0,True
611,3 galletas 30 g,30,True
612,5 galletitas 30 g,30.0,True
613,1 cuchara 20 g,20,True
614,2 galletitas (30 g),30.0,True
615,21g,21.0,True
616,"Porción 6 gotas (0,30 ml) - (1/4 cuchara de té). 6 gotas equivalen a 1 cucharada de azúcar tamaño té.",0.3,False
617,1 portion (200 ml),200.0,False
618,2 galletas (30 g),30,True
619,4 galletas/cookies 31 g,31.0,True
620,20 g,20,True
621,200 ml,200,False
622,200ml,200,True
623,200ml,200,False
624,100 g,,True
625,100 g,,True
626,1 cucharada 10 g,10.0,True
627,30 g,30.0,True
628,25 g,25,True
629,200ml,200,False
630,200 ml,200.0,False
631,100 g,,True
632,100 g,,True
633,1.5g,1.5,True
634,10 gotas (5 ml),5.0,False
635,200g,200.0,True
636,100 g,,True
637,25 g,25.0,True
638,30g,30,True
639,50 g,50.0,True
640,20 g,20.0,True
641,1 alfajor (40 g),40.0,True
642,500ml,500,False
643,1 havannete (38 g),38.0,True
644,4 galletas 30 g,30,True
645,50 g,50,True
646,100 g,,True
647,20g,20,True
648,4galletitas,,True
649,7 galletas 31 g,31,True
650,80 g,80,True
651,26g,26,True
652,1 cuchara de sopa (20 g),20.0,True
653,1 rebanada 40 g,40,True
654,1 pote 160 g,160.0,True
655,1 alfajor (33 g),33.0,True
656,8 gotas (0.40 ml),0.4,False
657,25 g,25,True
658,130g,130.0,True
659,"0,4 ml",0.4,False
660,25g,25,True
661,4 galletas (30 g),30,True
662,30g,30,True
663,"0,8g",0.8,True
664,50g,50,True
665,12g,12.0,True
666,100 g,100,True
667,1 barrita 21 g,21,True
668,2 galletitas (24 g),24.0,True
669,6 bizcochos (30 g),30.0,True
670,3 galletas 30 g,30,True
671,1 pote 120 g,120.0,True
672,50g,50,True
673,500g,500,True
674,100 g,,True
675,2.250g,2.25,True
676,1 cuchara 20 g,20,True
677,100 g,,True
678,30gr,30.0,True
679,1 portion (25 g),25,True
680,200ml,200,False
681,1 rebanada 40 g,40.0,True
682,30g (2 cucharadas de sopa),30.0,True
683,1/3 unidad (25 g),25.0,True
684,1 alfajor (40 g),40.0,True
685,100 g,,True
686,1 lata (120 g),120,True
687,1 xícara de chá/taza de té (130 g),130.0,True
688,1 cuchara 20 g,20,True
689,5g,5,True
690,1 vaso 200 ml,200.0,False
691,100 g,,True
692,1 Bar (25 g),25.0,True
693,1 cuchara 20 g,20,True
694,60g,60,True
695,100 g,,True
696,100 g,,True
697,44.0g,44,True
698,7 galletitas 31 g,31.0,True
699,1 vaso (200 ml),200.0,False
700,1 unidad (190 g),190.0,True
701,125.0g,125.0,True
702,1 envase (200 ml),200,False
703,200 ml,200,False
704,200 ml,200,False
705,1 cuchara 20 g,20,True
706,5 galletas 31 g,31,True
707,240ml,240.0,False
708,1 portion (20 g),20.0,True
709,3 tsp (20 g),20.0,True
710,1 unidad 75 g,75.0,True
711,6 bizcochos (30 g),30.0,True
712,100g,100,True
713,30g,30,True
714,25 g,25,True
715,30g,30.0,True
716,25g,25,True
717,1 cucharada sopera/tablespoon (10 g),10,True
718,1.5g,1.5,True
719,190g,190.0,True
720,100 g,,True
721,3/4 de taza (35 g),35,True
722,25g,25,True
723,220g,220,True
724,1 cuchara 20 g,20,True
725,100 g,,True
726,200g,200.0,True
727,5g,5,True
728,1 alfajor (33 g),33,True
729,100 g,,True
730,200 ml,200,False
731,200 ml,200.0,False
732,20 g,20,True
733,25g,25.0,True
734,100 g,,True
735,38 g,38,True
736,30 g,30,True
737,100 g,,True
738,100 g,100,True
739,1 vaso (200 ml),200,False
740,100 g,,True
741,100 g,,True
742,100 g,,True
743,30 g (cuatro cucharadas de té),30,True
744,1 taza de té (30 g),30.0,True
745,200 ml,200,False
746,12g,12,True
747,30g,30,True
748,100 g,,True
749,1 plato 80 g,80.0,True
750,25 g (1 taza de té),25.0,True
751,30g,30.0,True
752,20gr,,True
