food_id ,calories,protein,fat,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,carbohydrates,total_sugars,added_sugars,fiber,sodium,potassium,cholesterol
680,21,0,0,0,0,0,0,5,5,0,0,0.00366,0,0
681,260,0,0,0,0,0,0,60,33,0,0,0.0096,0,0
682,357,0,7.33,1.33,0,0,0,60,0,0,10,0,0,0
683,556,0,44,23.2,0,0,0,38.8,16,0,9.6,0,0,0
684,517,0,28,12,13,2.7,0.4,56,32,0,1.9,0.122,0,0.016
685,112,0,13,1.1,0,0,0,0,0,0,0,0,0,0
686,90.8,0,1.08,0.5,0.25,0.333,0,0,0,0,0,0.147,0,0.0375
687,59.2,0,1.69,0.385,0,0,0,7.69,0,0,3.38,0.23,0,0
688,116,0,0,0,0,0,0,29,0,0,0.9,0.013000000000000001,0,0
689,320,0,0,0,0,0,0,78,0,0,0,0,0,0
690,40,0,1.5,0.3,0.3,0.9,0,4,3,0,0.6,0.07,0,0
691,310,0,7.5,4.5,0,0,0,55,50,0,0,0.005,0,0
692,528,0,32,0,0,0,0,49,0,0,0,0,0,0
693,53,0,0,0,0,0,0,13,0,0,0,0,0,0
694,248,0,9.17,0.667,0,0,0,45,0,0,5.33,0.459,0,0
695,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0
697,355,0,8,2,0,0,0,63,41,0,0,0,0,0
698,444,0,17,1.5,12,2.4,0,62,0.6,0,3.8,0.706,0,0
699,40,0,1,0.6,0,0,0,4.8,0,0,0,0.062,0,0
700,44.2,0,0,0,0,0,0,6.32,5.79,0,0,0.0721,0,0
701,91.2,0,2.4,1.6,0,0,0,15.2,0,0,0,0,0,0
702,21,0,0,0,0,0,0,5,5,0,0,0.009,0,0
703,21,0,0,0,0,0,0,5,0,0,0,0,0,0
704,17.5,0,0,0,0,0,0,4.5,4,0,0,0.0178,0,0
705,116,0,0,0,0,0,0,29,0,0,0.9,0.014,0,0
706,481,0,20,5.4,12,2,0.3,67,23,0,1.6,0.249,0,0
707,45.8,0,1.46,0.917,0,0,0,5,5,0,0,0.0635,0,0.00417
708,140,0,0,0,0,0,0,35,18.5,0,0,0,0,0
709,340,0,22,3,0,0,0,21.5,12.5,0,6,0.145,0,0.015
710,96,0,0,0,0,0,0,18.7,2.67,0,3.73,0.304,0,0
711,497,0,25.3,11.3,0,0,1.33,60,11,11,0,0.567,0,0
