id,barcode,name
664,7791337120204,"casamcrem, La Serenísima"
665,7613034453600,"Nesquick, Nesquik"
666,7790130000034,"Vinagre de alcohol Menoyo, Menoyo"
667,7798138553170,"fideos de semola, molto"
668,7790040725102,"Serranitas, Arcor, Serranitas"
669,7790580056001,"Sugus Confitados, sugus"
670,7790080040135,"Mendicrim, sancor"
671,8005121000740,"Stelline 74, Divella"
672,7796989074905,rapiditas clasicas
673,7790070412348,"Flan sabor vainilla, Exquisita"
674,7622300864934,"Oreo, Oreo"
675,7790070318602,"Matarazzo Tirabuzón, Matarazzo"
676,7791078022706,"Bocaditos, granix"
677,7790895643835,"Soja + Jugo de Manzana, Ades"
678,7790895641800,"Cepita Naranja Tentación, "
679,7613034680778,"Nestle Nestum, Nestlé"
680,7790580511302,"Mermelada de Durazno Light, Arcor"
681,7798085999915,mermelada Durazno
682,7791620186917,manty
683,7791620000312,"Margadan, margadan"
684,7622210951984,"Avenas y Pasas, Cerealitas"
685,7622300847364,"Express Light, Terrabusi,Express Light"
686,7793360811401,"Durazno, BC La Campagnola"
687,7791620009827,Danica dorada
688,12125883,Fumeiga salsa de soja levemente salada
689,6797206000128,9 de oros agridulce
690,7793890250992,Lactal pan de mesa
691,7622210812759,"Jugo Clight de naranja, Mondelez"
692,7790045825395,"Frutigran Avena, Chía y Lino, Frutigran, Granix"
693,77995681,"Rhodesia, Terrabusi"
694,7794000598539,"sopa instantanea quick, Knorr"
695,7790045824909,"granix bizcochitos, Granix"
696,7790036020235,"Si diet, Si diet"
697,7792170052271,"Manzana, Gatorade"
698,7790045001195,"Frutigran Salvado, Granix,Frutigran"
699,7790040929609,"Surtido, Bagley"
700,7790244001453,"Dulce de Leche Tradición, San Ignacio"
701,7790895009853,"Jugo de manzana, Cepita,Coca-Cola"
702,7798146130622,"Ranch, Tau Delta"
703,7790895067549,"Coca cola zero, Coca loca"
704,7791118000503,"Malta, El pocillo"
705,7791118012407,pico dulce frutal
706,7790071090316,"Riera Tostadas Integrales, Riera"
707,7795145000055,la bianca
708,7790387014419,"Hierbas Serranas, Unión"
709,8480017022233,"Chimichurri, Dia"
710,7793940797002,"Queso Rallado Reggianito, La Serenisima"
711,7790310982440,"Lay's Sabor a Queso Crema, Lay's"
712,7798142880019,"Tostadas de arroz - sabor original, Productos carilo"
713,7790787003501,"ilolay crem clasico, ilolay"
714,7790071090217,"Tostadas, Riera"
715,7790036000329,"Baggio Pronto Naranja, Baggio"
716,7794000597600,", Knorr"
717,76074387,"Sabor en Polvo - Puerro, Alicante"
718,7790036000466,"Baggio multifruta, baggio"
719,8005121002096,"Conchiglioni 87/b, Divella"
720,7790580118938,"Chocolat à fondue, Aguila"
721,7613035068391,"Dolca Nescafé, Nestlé,Nescafe"
722,7798126072553,"Crunchips, "
723,7792850000066,"Chuker, Chuker"
724,7790895009815,"Naranja Tentación, Cepita, Cepita del Valle, Coca-Cola"
725,7791708001484,Pan integral salvado cormillot
726,8480017196705,"Papas sabor pimentón, Dia"
727,7798179490212,"NS galletas mix de semillas, NS"
728,7798052363091,maikitos de queso
729,7790380048282,Flow Cereal
